ObsID,OBJECT,NOTJUNK,READSPED,SNRCL452,SNRCL548,SNRCL652,SNRCL747,SNRCL852,SNRSC452,SNRSC548,SNRSC652,SNRSC747,SNRSC852,EXPTIME,ELAPSED,DATE-MID,MJD-OBS
KP.20230710.06016.54,autocal-thar-all-eve,True,regular,19.6,35.2,35.2,94.8,56.8,41.9,91.6,95.2,255.9,159.4,10.0,10.017,2023-07-10 01:40:21.551000,60135.069634
KP.20250702.20743.61,autocal-thar-all-night,True,regular,54.939,89.874,97.166,456.848,256.251,102.234,204.809,234.394,1075.263,635.172,20.0,20.0,2025-07-02 05:45:53.622000,60858.240087
KP.20250218.06054.15,autocal-thar-sci-eve,True,regular,14.729,14.521,15.752,46.056,26.959,41.327,89.407,76.946,664.746,224.325,20.0,20.0,2025-02-18 01:41:04.164000,60724.070068
KP.20250702.20949.27,autocal-thar-all-night,True,regular,55.26,89.627,97.749,457.235,256.068,101.465,203.388,234.044,1071.403,637.826,20.0,20.022,2025-07-02 05:49:19.276000,60858.242466
KP.20230103.80498.46,Th_daily_all_extended,True,,,,,,,,,,,,2.0,2.0,2023-01-03 22:21:39.565000,59947.931695
KP.20250824.63688.79,autocal-thar-all-morn,True,regular,25.133,42.953,41.318,343.152,124.494,43.753,96.69,96.356,823.898,321.834,20.0,20.0,2025-08-24 17:41:38.799000,60911.737135
KP.20250824.63825.89,autocal-thar-all-morn,True,regular,25.661,42.63,41.074,343.234,125.878,44.913,97.837,95.61,824.598,321.982,20.0,20.021,2025-08-24 17:43:55.904000,60911.738723
KP.20230103.81267.56,Th_daily_all_extended,True,,,,,,,,,,,,2.0,2.0,2023-01-03 22:34:28.671000,59947.940597
KP.20250702.27941.10,autocal-thar-all-night,True,regular,70.625,116.001,114.157,436.093,240.029,131.05,259.505,259.264,1017.488,574.458,20.0,20.0,2025-07-02 07:45:51.133000,60858.323393
KP.20240311.07114.34,autocal-thar-all-eve,True,regular,6.791,8.483,7.686,25.789,8.256,11.165,17.148,14.636,61.543,15.838,10.0,10.0,2024-03-11 01:58:39.347000,60380.082338
KP.20230103.81331.69,Th_daily_all_extended,True,,,,,,,,,,,,2.0,2.0,2023-01-03 22:35:32.802000,59947.941334
KP.20250702.28078.28,autocal-thar-all-night,True,regular,70.875,115.261,112.529,429.299,247.786,130.426,258.408,258.452,1011.652,568.89,20.0,20.021,2025-07-02 07:48:08.292000,60858.324981
KP.20241221.06194.47,autocal-thar-sci-eve,True,regular,12.87,13.292,16.606,52.671,28.565,70.592,141.844,130.309,812.007,328.853,20.0,20.0,2024-12-21 01:43:24.479000,60665.071694
KP.20230103.81716.04,Th_daily_all_extended,True,,,,,,,,,,,,2.0,2.0,2023-01-03 22:41:57.172000,59947.945785
