ObsID,OBJECT,NOTJUNK,READSPED,SNRCL452,SNRCL548,SNRCL652,SNRCL747,SNRCL852,SNRSC452,SNRSC548,SNRSC652,SNRSC747,SNRSC852,EXPTIME,ELAPSED,DATE-MID,MJD-OBS
KP.20230701.09460.15,manualcal-fast-lfc-all-eve,False,fast,5.3,125.1,141.5,180.8,320.9,11.4,222.6,279.5,378.7,718.0,60.0,60.0,2023-07-01 02:38:10.159000,60126.109488
KP.20230701.10065.66,manualcal-fast-lfc-all-eve,False,fast,5.6,120.6,146.4,180.5,319.8,11.6,214.0,287.6,379.1,710.6,60.0,60.0,2023-07-01 02:48:15.672000,60126.116501
KP.20240817.34011.81,autocal-lfc-all-midnight,True,regular,-23.984,385.429,270.201,188.735,358.453,-54.495,856.357,840.596,781.918,805.887,60.0,60.023,2024-08-17 09:27:21.818000,60539.393653
KP.20230322.84861.09,LFC-test-0.1,True,regular,5.5,5.3,4.4,4.5,4.5,12.9,13.1,11.5,9.9,9.5,60.0,60.0,2023-03-22 23:34:51.667000,60025.982188
KP.20230322.84983.14,LFC-test-0.1,True,regular,5.6,5.3,4.5,4.5,4.5,13.0,13.8,11.5,9.6,9.4,60.0,60.0,2023-03-22 23:36:53.766000,60025.983599
KP.20230322.85593.67,LFC-test-0.1,True,regular,5.6,5.4,4.4,4.6,4.5,12.9,13.3,11.5,9.8,9.1,60.0,60.0,2023-03-22 23:47:04.212000,60025.990664
KP.20230322.85837.79,LFC-test-0.1,True,regular,5.6,5.3,4.4,4.5,4.5,12.4,13.5,11.6,9.8,9.3,60.0,60.0,2023-03-22 23:51:08.373000,60025.993492
KP.20260320.67722.64,autocal-lfc-all-morn,True,regular,74.252,266.154,278.288,191.78,217.013,246.29,902.248,1040.579,914.956,1541.278,10.0,10.0,2026-03-20 18:48:47.646000,61119.783826
KP.20240713.66421.17,autocal-lfc-all-morn,True,fast,-6.399,172.545,133.888,88.205,126.206,-17.585,375.695,389.517,368.199,377.509,60.0,60.0,2024-07-13 18:27:31.179000,60504.768761
KP.20251101.67328.82,autocal-lfc-all-morn,True,regular,58.216,706.398,551.062,428.916,553.777,164.068,2170.181,1870.251,1884.384,3292.58,60.0,60.024,2025-11-01 18:42:38.831000,60980.779265
KP.20240301.66938.82,autocal-lfc-all-morn,True,regular,6.607,216.772,169.03,108.925,149.968,13.083,473.481,492.21,451.576,436.901,60.0,60.023,2024-03-01 18:36:08.831000,60370.774754
KP.20260128.11912.16,autocal-lfc-all-eve,True,regular,121.969,232.758,121.491,117.791,129.719,392.853,773.043,455.141,552.758,910.72,10.0,10.001,2026-01-28 03:18:37.170000,61068.137873
KP.20260128.12029.35,autocal-lfc-all-eve,True,regular,118.613,232.852,119.823,117.569,128.381,382.222,773.067,448.496,548.752,892.736,10.0,10.0,2026-01-28 03:20:34.360000,61068.139225
KP.20240716.68036.63,autocal-lfc-all-morn,True,regular,-6.471,171.125,131.987,85.627,119.31,-17.22,371.757,384.384,357.42,361.234,60.0,60.0,2024-07-16 18:54:26.643000,60507.787462
KP.20250730.68419.31,autocal-lfc-all-morn,True,regular,58.093,384.041,463.073,373.597,307.052,111.853,849.297,1029.337,1101.962,1217.286,60.0,60.001,2025-07-30 19:00:49.353000,60886.791887
KP.20230430.57140.82,cal-LFC-morn,True,regular,313.9,333.4,320.0,316.6,872.5,456.3,584.9,657.8,712.7,2082.4,60.0,60.0,2023-04-30 15:50:48.504000,60064.65993
KP.20240503.11537.36,autocal-lfc-all-eve,True,regular,6.721,448.231,286.526,122.0,102.783,13.33,989.141,836.885,507.207,318.86,60.0,60.001,2024-05-03 03:12:47.393000,60433.133532
KP.20240723.67657.68,autocal-lfc-all-morn,True,regular,8.059,465.733,338.709,236.157,414.518,13.799,1023.945,1043.388,968.288,965.322,60.0,60.0,2024-07-23 18:48:07.688000,60514.783072
KP.20250730.67985.16,autocal-lfc-all-morn,True,regular,10.33,88.589,443.648,349.744,303.549,15.542,196.997,985.569,1033.274,1200.351,60.0,60.0,2025-07-30 18:53:35.169000,60886.786863
